date,MKT,TB,TS,DEF,INF,VIX,DXY_RET
2020-10-20,0.0047233658191419585,0.1,0.7100000000000001,1.0900000000000003,1.53,3.3792925592713705,-0.0038531586126048234
2020-10-21,-0.0021996681820687903,0.1,0.73,1.06,1.56,3.355153429845924,-0.004942506564746818
2020-10-22,0.005215353967820698,0.09,0.78,1.0499999999999998,1.68,3.3361254066314094,0.00367127022621605
2020-10-23,0.00344179309973486,0.1,0.75,1.04,1.66,3.316002507906021,-0.0019365283602538197
2020-10-26,-0.018593881373900726,0.11,0.7000000000000001,1.0500000000000003,1.63,3.480008533881659,0.003018286286769367
2020-10-27,-0.0030295871659671825,0.1,0.6900000000000001,1.04,1.64,3.5070577266081413,-0.001182166649584926
2020-10-28,-0.03529184701457305,0.1,0.6900000000000001,1.08,1.61,3.695855037544921,0.005057039039776612
2020-10-29,0.011943759465666955,0.09,0.76,1.06,1.61,3.6267380616353546,0.005887971317855456
2020-10-30,-0.012133121558747122,0.09,0.79,1.1,1.59,3.6381123491003584,0.0008514456346766508
2020-11-02,0.012314631172700381,0.09,0.78,1.1,1.6,3.6144252969558948,0.00010636044378031784
2020-11-03,0.017795321842466297,0.1,0.8,1.0699999999999998,1.62,3.5709401347882244,-0.005316320933289487
2020-11-04,0.022043079447715167,0.1,0.68,1.0699999999999998,1.56,3.386760323543933,-0.001496519348812675
2020-11-05,0.019456225884994686,0.1,0.6900000000000001,1.0699999999999998,1.55,3.3170908695988777,-0.009420884790838135
2020-11-06,-0.0002916834413868008,0.1,0.73,1.0299999999999998,1.54,3.213260110634116,-0.0032421422924562293
2020-11-09,0.011695524156322131,0.11,0.85,1.04,1.63,3.248434627109745,0.005421229337539746
2020-11-10,-0.0014037628471593156,0.1,0.88,1.0,1.69,3.2108436224072485,0.00021564372201554605
2020-11-11,0.007647887064792083,0.1,0.88,1.0,1.69,3.1548705274270192,0.0031266945070334007
2020-11-12,-0.009982500557845274,0.1,0.78,0.9700000000000002,1.63,3.2327787450853074,-0.0008598648996932523
2020-11-13,0.013606763980492105,0.09,0.8,0.98,1.64,3.1398326340415887,-0.0021514301873051256
2020-11-16,0.011644479811440907,0.09,0.8200000000000001,0.98,1.64,3.111290648172203,-0.0020483229520327217
2020-11-17,-0.004795497126663043,0.09,0.78,0.98,1.63,3.1228053158036246,-0.0016204118653280197
2020-11-18,-0.011567401039515472,0.09,0.79,1.0100000000000002,1.63,3.171364848597648,-0.0010820003906328868
2020-11-19,0.003943664689643818,0.07,0.79,0.9300000000000002,1.62,3.1402654506970014,-0.00032494345099698396
2020-11-20,-0.006795340692957934,0.07,0.76,0.94,1.61,3.165475080332623,0.0010835244677549483
2020-11-23,0.005632756014041631,0.08,0.78,0.9499999999999997,1.62,3.120601248866061,0.0012988716027144687
