date,actual,rw,ar,har,arfima,fnn,lstm,nar
2023-01-06,-4.487596,-4.561595,-4.508019,-4.549485,-4.517929,-4.483564,-4.512773,-4.515972
2023-01-09,-4.624189,-4.487596,-4.475579,-4.483062,-4.491336,-4.521050,-4.520858,-4.512096
2023-01-10,-4.621226,-4.624189,-4.566413,-4.552133,-4.557432,-4.603784,-4.584969,-4.575959
2023-01-11,-4.562871,-4.621226,-4.594655,-4.578198,-4.569785,-4.626050,-4.603515,-4.579677
2023-01-12,-4.534381,-4.562871,-4.568738,-4.559164,-4.546534,-4.617117,-4.586026,-4.555275
2023-01-13,-3.925725,-4.534381,-4.556792,-4.542077,-4.529304,-4.584676,-4.560646,-4.547923
2023-01-17,-4.589508,-3.925725,-4.229223,-4.221228,-4.213575,-4.231490,-4.241697,-4.218975
2023-01-18,-4.499313,-4.589508,-4.460555,-4.527794,-4.481669,-4.413784,-4.448593,-4.416229
2023-01-19,-4.642059,-4.499313,-4.475280,-4.481565,-4.474069,-4.437419,-4.488252,-4.500284
2023-01-20,-4.566021,-4.642059,-4.528859,-4.555220,-4.553038,-4.622152,-4.598240,-4.547672
2023-01-23,-4.616528,-4.566021,-4.573103,-4.522744,-4.533650,-4.601879,-4.581070,-4.571791
2023-01-24,-4.415509,-4.616528,-4.588476,-4.590795,-4.561282,-4.635847,-4.602983,-4.552424
2023-01-25,-4.799810,-4.415509,-4.501020,-4.485746,-4.465829,-4.518897,-4.507480,-4.482684
2023-01-26,-4.663392,-4.799810,-4.662399,-4.682666,-4.644707,-4.684378,-4.659478,-4.653231
2023-01-27,-4.690953,-4.663392,-4.646199,-4.621240,-4.609939,-4.680699,-4.649689,-4.663546
2023-01-30,-4.959747,-4.690953,-4.649062,-4.643717,-4.626651,-4.725448,-4.668594,-4.666733
2023-01-31,-4.827664,-4.959747,-4.821321,-4.789702,-4.770351,-4.827300,-4.782479,-4.793983
2023-02-01,-4.269960,-4.827664,-4.787739,-4.757033,-4.737779,-4.830152,-4.771080,-4.800783
2023-02-02,-4.296691,-4.269960,-4.499967,-4.460407,-4.456902,-4.529038,-4.519419,-4.507073
2023-02-03,-4.400042,-4.296691,-4.433497,-4.447483,-4.411694,-4.394258,-4.400193,-4.405967
2023-02-06,-4.782384,-4.400042,-4.431941,-4.479028,-4.438399,-4.375635,-4.395713,-4.424312
2023-02-07,-4.439666,-4.782384,-4.593998,-4.647829,-4.630300,-4.631982,-4.623768,-4.635761
2023-02-08,-4.518050,-4.439666,-4.492332,-4.463502,-4.493251,-4.546498,-4.536291,-4.555434
2023-02-09,-4.682647,-4.518050,-4.516506,-4.515668,-4.514077,-4.570393,-4.550467,-4.503845
2023-02-10,-4.727879,-4.682647,-4.626535,-4.616346,-4.598381,-4.633283,-4.613040,-4.589904
2023-02-13,-4.860139,-4.727879,-4.649554,-4.658512,-4.639810,-4.707962,-4.676243,-4.649327
2023-02-14,-4.481869,-4.860139,-4.747830,-4.726241,-4.722282,-4.802044,-4.764393,-4.751974
2023-02-15,-4.766177,-4.481869,-4.593368,-4.553645,-4.551745,-4.631924,-4.609612,-4.615942
2023-02-16,-4.768774,-4.766177,-4.693709,-4.706263,-4.667915,-4.729957,-4.692333,-4.672843
2023-02-17,-4.616005,-4.768774,-4.726998,-4.714207,-4.688246,-4.741329,-4.707793,-4.730311
2023-02-21,-4.652274,-4.616005,-4.630177,-4.637863,-4.620174,-4.697557,-4.663820,-4.667278
2023-02-22,-4.707154,-4.652274,-4.653088,-4.641446,-4.627533,-4.687490,-4.652957,-4.670694
2023-02-23,-4.596800,-4.707154,-4.676040,-4.681917,-4.654798,-4.704068,-4.670785,-4.690905
2023-02-24,-4.490263,-4.596800,-4.615502,-4.620327,-4.604292,-4.659750,-4.630336,-4.633893
2023-02-27,-4.901105,-4.490263,-4.550329,-4.553812,-4.540512,-4.579947,-4.559933,-4.567094
2023-02-28,-4.915714,-4.901105,-4.740599,-4.762489,-4.733831,-4.757328,-4.730665,-4.750693
2023-03-01,-4.660878,-4.915714,-4.801997,-4.787674,-4.779732,-4.833465,-4.800349,-4.819244
2023-03-02,-4.281439,-4.660878,-4.689349,-4.666764,-4.669999,-4.761173,-4.725939,-4.725911
2023-03-03,-4.995218,-4.281439,-4.493043,-4.466610,-4.459007,-4.496065,-4.486908,-4.487960
2023-03-06,-4.949751,-4.995218,-4.785587,-4.829590,-4.774173,-4.752109,-4.740648,-4.757346
2023-03-07,-4.330334,-4.949751,-4.825717,-4.816715,-4.806889,-4.839211,-4.817586,-4.842532
2023-03-08,-4.538398,-4.330334,-4.503228,-4.494170,-4.511674,-4.585630,-4.581899,-4.562587
2023-03-09,-4.022022,-4.538398,-4.588915,-4.583077,-4.560954,-4.574391,-4.542624,-4.567133
2023-03-10,-3.498248,-4.022022,-4.300489,-4.323405,-4.291309,-4.216949,-4.275999,-4.310877
2023-03-13,-3.434819,-3.498248,-3.882925,-3.976817,-3.956334,-3.901424,-3.902349,-3.999604
2023-03-14,-3.905881,-3.434819,-3.741448,-3.839281,-3.828703,-3.766807,-3.649360,-3.951351
2023-03-15,-3.934310,-3.905881,-3.885193,-4.029620,-4.014034,-3.874366,-3.810261,-4.014798
2023-03-16,-3.854514,-3.934310,-3.915580,-3.999942,-4.040905,-3.924525,-3.958563,-3.989937
2023-03-17,-4.136367,-3.854514,-3.905957,-3.944238,-4.002096,-3.933264,-3.977316,-3.960897
2023-03-20,-4.176375,-4.136367,-4.096991,-4.114601,-4.137692,-4.060235,-4.112090,-4.054767
2023-03-21,-4.446092,-4.176375,-4.161696,-4.176949,-4.180954,-4.129057,-4.203600,-4.104018
2023-03-22,-4.261692,-4.446092,-4.324132,-4.334628,-4.335487,-4.345054,-4.387074,-4.284117
2023-03-23,-4.289539,-4.261692,-4.304847,-4.266913,-4.275853,-4.307688,-4.361411,-4.274707
2023-03-24,-4.165846,-4.289539,-4.313788,-4.304896,-4.290453,-4.317071,-4.355042,-4.255347
2023-03-27,-4.199439,-4.165846,-4.268761,-4.245202,-4.230096,-4.218458,-4.279497,-4.225266
2023-03-28,-4.492148,-4.199439,-4.247972,-4.259761,-4.236638,-4.210213,-4.267681,-4.194584
2023-03-29,-4.446423,-4.492148,-4.402570,-4.399730,-4.388098,-4.384606,-4.419840,-4.364579
2023-03-30,-4.409484,-4.446423,-4.415242,-4.387149,-4.394643,-4.442462,-4.470322,-4.403738
